Active Ingredient,NDA #,Product Name,Company,Approval Date,P or E,Date Added,Patent Number,Expiration Date,Codes,Strengths,Delist Request,Orig,Analysis,Added strength,# added strengths,Applied to UC,2nd add,Comments
Ibrutinib,205552,Imbruvica,PHARMACYCLICS INC,,E,5/28/16,,5/6/19,D-165,1,,,,,null,,,
Ibrutinib,205552,Imbruvica,PHARMACYCLICS INC,,E,5/28/16,,5/6/19,I-736,1,,,,,null,,,
Ibrutinib,205552,Imbruvica,PHARMACYCLICS INC,,E,5/28/16,,5/6/19,I-737,1,,,,,null,,,
Ibrutinib,205552,Imbruvica,PHARMACYCLICS INC,,E,5/28/16,,5/6/23,ODE,1,,,ODE,,null,,,
Ibrutinib,205552,Imbruvica,PHARMACYCLICS INC,,P,1/28/17,9540382,8/18/33,U-1456,1,,,P:UCnew,,null,,,
Ibrutinib,205552,Imbruvica,PHARMACYCLICS INC,,P,1/28/17,9540382,8/18/33,U-1650,1,,,UCnew,,null,,,
Ibrutinib,205552,Imbruvica,PHARMACYCLICS INC,,P,1/28/17,9540382,8/18/33,U-1684,1,,,UCnew,,null,,,
Ibrutinib,205552,Imbruvica,PHARMACYCLICS INC,,P,1/28/17,9540382,8/18/33,U-1946,1,,,UCnew,,null,,,
Ibrutinib,205552,Imbruvica,PHARMACYCLICS INC,,P,1/28/17,9540382,8/18/33,U-1947,1,,,UCnew,,null,,,
Ibrutinib,205552,Imbruvica,PHARMACYCLICS INC,,E,1/28/17,,1/18/20,I-741,1,,,,,null,,,
Ibrutinib,205552,Imbruvica,PHARMACYCLICS INC,,E,1/28/17,,1/18/24,ODE,1,,,ODE,,null,,,
Ibrutinib,205552,Imbruvica,PHARMACYCLICS INC,,P,4/28/17,8476284,12/28/26,U-1456,1,,,P:UC,,null,,,
Ibrutinib,205552,Imbruvica,PHARMACYCLICS INC,,P,4/28/17,8476284,12/28/26,U-1491,1,,,UCnew,,null,,,
Ibrutinib,205552,Imbruvica,PHARMACYCLICS INC,,P,4/28/17,8476284,12/28/26,U-1947,1,,,UC,,null,,,
Ibrutinib,205552,Imbruvica,PHARMACYCLICS INC,,P,4/28/17,8497277,12/28/26,U-1456,1,,,P:UC,,null,,,
Ibrutinib,205552,Imbruvica,PHARMACYCLICS INC,,P,4/28/17,8497277,12/28/26,U-1491,1,,,UC,,null,,,
Ibrutinib,205552,Imbruvica,PHARMACYCLICS INC,,P,4/28/17,8497277,12/28/26,U-1650,1,,,UC,,null,,,
Ibrutinib,205552,Imbruvica,PHARMACYCLICS INC,,P,4/28/17,8497277,12/28/26,U-1947,1,,,UC,,null,,,
Ibrutinib,205552,Imbruvica,PHARMACYCLICS INC,,P,8/28/17,8476284,12/28/26,"U-1456, I-741",1,,,UCnew,,null,,,
Ibrutinib,205552,Imbruvica,PHARMACYCLICS INC,,P,8/28/17,8476284,12/28/26,U-1650,1,,,UC,,null,,,
Ibrutinib,205552,Imbruvica,PHARMACYCLICS INC,,P,8/28/17,8476284,12/28/26,U-1946,1,,,UC,,null,,,
Ibrutinib,205552,Imbruvica,PHARMACYCLICS INC,,P,8/28/17,8476284,12/28/26,U-1947,1,,,UC,,null,,,
Ibrutinib,205552,Imbruvica,PHARMACYCLICS INC,,P,8/28/17,8497277,12/28/26,U-1456,1,,,UC,,null,,,
Ibrutinib,205552,Imbruvica,PHARMACYCLICS INC,,P,8/28/17,8497277,12/28/26,U-1491,1,,,UC,,null,,,
Ibrutinib,205552,Imbruvica,PHARMACYCLICS INC,,P,8/28/17,8497277,12/28/26,U-1650,1,,,UC,,null,,,
Ibrutinib,205552,Imbruvica,PHARMACYCLICS INC,,P,8/28/17,8497277,12/28/26,U-1946,1,,,UC,,null,,,
Ibrutinib,205552,Imbruvica,PHARMACYCLICS INC,,P,8/28/17,8497277,12/28/26,U-1947,1,,,UC,,null,,,
Ibrutinib,205552,Imbruvica,PHARMACYCLICS INC,,P,8/28/17,8952015,12/28/26,U-1456,1,,,P:UC,,null,,,
Ibrutinib,205552,Imbruvica,PHARMACYCLICS INC,,P,8/28/17,8952015,12/28/26,U-1491,1,,,UC,,null,,,
Ibrutinib,205552,Imbruvica,PHARMACYCLICS INC,,P,8/28/17,8952015,12/28/26,U-1650,1,,,UC,,null,,,
Ibrutinib,205552,Imbruvica,PHARMACYCLICS INC,,P,8/28/17,8952015,12/28/26,U-1946,1,,,UC,,null,,,
Ibrutinib,205552,Imbruvica,PHARMACYCLICS INC,,P,8/28/17,8952015,12/28/26,U-1947,1,,,UC,,null,,,
Ibrutinib,205552,Imbruvica,PHARMACYCLICS INC,,P,8/28/17,9713617,6/3/33,DP,1,,,P:DP,,null,,,
Ibrutinib,205552,Imbruvica,PHARMACYCLICS INC,,P,8/28/17,9725455,6/3/33,DS,1,,,P:DS,,null,,,
Ibrutinib,205552,Imbruvica,PHARMACYCLICS INC,,E,8/28/17,,8/2/20,I-753,1,,,,,null,,,
Ibrutinib,205552,Imbruvica,PHARMACYCLICS INC,,E,8/28/17,,8/2/24,ODE,1,,,ODE,,null,,,
Ibrutinib,205552,Imbruvica,PHARMACYCLICS INC,,P,10/28/17,9795604,10/24/34,U-2150,1,,,P:UCnew,,null,,,
Ibrutinib,205552,Imbruvica,PHARMACYCLICS INC,,P,10/28/17,9801881,6/3/31,U-1491,1,,,P:UC,,null,,,
Ibrutinib,205552,Imbruvica,PHARMACYCLICS INC,,P,10/28/17,9801883,6/3/31,U-2159,1,,,P:UCnew,,null,,,
Ibrutinib,205552,Imbruvica,PHARMACYCLICS INC,,P,11/28/17,9814721,6/3/31,U-1947,1,,,P:UC,,null,,,
Ibrutinib,205552,Imbruvica,PHARMACYCLICS INC,,P,1/28/18,7514444,12/28/26,"DS, DP",2,,,P:DS/DP,,null,,,
Ibrutinib,205552,Imbruvica,PHARMACYCLICS INC,,P,1/28/18,8008309,12/28/26,"DS, DP",2,,,P:DS/DP,,null,,,
Ibrutinib,205552,Imbruvica,PHARMACYCLICS INC,,P,1/28/18,8476284,12/28/26,U-1456,2,,,UC,,null,,,
Ibrutinib,205552,Imbruvica,PHARMACYCLICS INC,,P,1/28/18,8476284,12/28/26,U-1650,2,,,UC,,null,,,
Ibrutinib,205552,Imbruvica,PHARMACYCLICS INC,,P,1/28/18,8476284,12/28/26,U-1946,2,,,UC,,null,,,
Ibrutinib,205552,Imbruvica,PHARMACYCLICS INC,,P,1/28/18,8476284,12/28/26,U-1947,2,,,UC,,null,,,
Ibrutinib,205552,Imbruvica,PHARMACYCLICS INC,,P,1/28/18,8497277,12/28/26,U-1456,2,,,UC,,null,,,
Ibrutinib,205552,Imbruvica,PHARMACYCLICS INC,,P,1/28/18,8497277,12/28/26,U-1491,2,,,UC,,null,,,
Ibrutinib,205552,Imbruvica,PHARMACYCLICS INC,,P,1/28/18,8497277,12/28/26,U-1650,2,,,UC,,null,,,
Ibrutinib,205552,Imbruvica,PHARMACYCLICS INC,,P,1/28/18,8497277,12/28/26,U-1946,2,,,UC,,null,,,
Ibrutinib,205552,Imbruvica,PHARMACYCLICS INC,,P,1/28/18,8497277,12/28/26,U-1947,2,,,UC,,null,,,
Ibrutinib,205552,Imbruvica,PHARMACYCLICS INC,,P,1/28/18,8563563,4/26/27,U-1491,"001, 002",,,P:UC,,null,,,
Ibrutinib,205552,Imbruvica,PHARMACYCLICS INC,,P,1/28/18,8563563,4/26/27,U-1946,"001, 002",,,UC,,null,,,
Ibrutinib,205552,Imbruvica,PHARMACYCLICS INC,,P,1/28/18,8563563,4/26/27,U-2219,"001, 002",,,UCnew,,null,,,
Ibrutinib,205552,Imbruvica,PHARMACYCLICS INC,,P,1/28/18,8697711,12/28/26,"DS, DP",2,,,P:DS/DP,,null,,,
Ibrutinib,205552,Imbruvica,PHARMACYCLICS INC,,P,1/28/18,8703780,12/28/26,U-1491,2,,,P:UC,,null,,,
Ibrutinib,205552,Imbruvica,PHARMACYCLICS INC,,P,1/28/18,8735403,12/28/26,"DS, DP",2,,,P:DS/DP,,null,,,
Ibrutinib,205552,Imbruvica,PHARMACYCLICS INC,,P,1/28/18,8754090,6/3/31,U-1456,2,,,P:UC,,null,,,
Ibrutinib,205552,Imbruvica,PHARMACYCLICS INC,,P,1/28/18,8754091,12/28/26,DP,2,,,P:DP,,null,,,
Ibrutinib,205552,Imbruvica,PHARMACYCLICS INC,,P,1/28/18,8952015,12/28/26,U-1456,2,,,UC,,null,,,
Ibrutinib,205552,Imbruvica,PHARMACYCLICS INC,,P,1/28/18,8952015,12/28/26,U-1491,2,,,UC,,null,,,
Ibrutinib,205552,Imbruvica,PHARMACYCLICS INC,,P,1/28/18,8952015,12/28/26,U-1650,2,,,UC,,null,,,
Ibrutinib,205552,Imbruvica,PHARMACYCLICS INC,,P,1/28/18,8952015,12/28/26,U-1946,2,,,UC,,null,,,
Ibrutinib,205552,Imbruvica,PHARMACYCLICS INC,,P,1/28/18,8952015,12/28/26,U-1947,2,,,UC,,null,,,
Ibrutinib,205552,Imbruvica,PHARMACYCLICS INC,,P,1/28/18,8957079,12/28/26,"DS, DP",2,,,P:DS/DP,,null,,,
Ibrutinib,205552,Imbruvica,PHARMACYCLICS INC,,P,1/28/18,8999999,6/3/31,U-1491,2,,,P:UC,,null,,,
Ibrutinib,205552,Imbruvica,PHARMACYCLICS INC,,P,1/28/18,8999999,6/3/31,U-1946,2,,,UC,,null,,,
Ibrutinib,205552,Imbruvica,PHARMACYCLICS INC,,P,1/28/18,8999999,6/3/31,U-2228,2,,,UCnew,,null,,,
Ibrutinib,205552,Imbruvica,PHARMACYCLICS INC,,P,1/28/18,9125889,6/3/31,U-1650,2,,,P:UC,,null,,,
Ibrutinib,205552,Imbruvica,PHARMACYCLICS INC,,P,1/28/18,9181257,12/28/26,DS,2,,,P:DS,,null,,,
Ibrutinib,205552,Imbruvica,PHARMACYCLICS INC,,P,1/28/18,9296753,10/30/33,DS,2,,,P:DS,,null,,,
Ibrutinib,205552,Imbruvica,PHARMACYCLICS INC,,P,1/28/18,9540382,8/18/33,U-1456,2,,,UC,,null,,,
Ibrutinib,205552,Imbruvica,PHARMACYCLICS INC,,P,1/28/18,9540382,8/18/33,U-1491,2,,,UC,,null,,,
Ibrutinib,205552,Imbruvica,PHARMACYCLICS INC,,P,1/28/18,9540382,8/18/33,U-1650,2,,,UC,,null,,,
Ibrutinib,205552,Imbruvica,PHARMACYCLICS INC,,P,1/28/18,9540382,8/18/33,U-1946,2,,,UC,,null,,,
Ibrutinib,205552,Imbruvica,PHARMACYCLICS INC,,P,1/28/18,9540382,8/18/33,U-1947,2,,,UC,,null,,,
Ibrutinib,205552,Imbruvica,PHARMACYCLICS INC,,P,1/28/18,9713617,6/3/33,DP,2,,,P:DP,,null,,,
Ibrutinib,205552,Imbruvica,PHARMACYCLICS INC,,P,1/28/18,9725455,6/3/33,DS,2,,,DS,,null,,,
Ibrutinib,205552,Imbruvica,PHARMACYCLICS INC,,P,1/28/18,9795604,10/24/34,U-2150,2,,,UC,,null,,,
Ibrutinib,205552,Imbruvica,PHARMACYCLICS INC,,P,1/28/18,9801881,6/3/31,U-1491,2,,,UC,,null,,,
Ibrutinib,205552,Imbruvica,PHARMACYCLICS INC,,P,1/28/18,9801883,6/3/31,U-2159,2,,,UC,,null,,,
Ibrutinib,205552,Imbruvica,PHARMACYCLICS INC,,P,1/28/18,9814721,6/3/31,U-1947,2,,,UC,,null,,,
Ibrutinib,205552,Imbruvica,PHARMACYCLICS INC,,E,2/28/18,,11/13/18,NCE,2,,,,,null,,,
Ibrutinib,205552,Imbruvica,PHARMACYCLICS INC,,P,7/28/18,10004746,6/3/31,U-1684,"001, 002",,,P:UC,,null,,,
Ibrutinib,205552,Imbruvica,PHARMACYCLICS INC,,P,7/28/18,10004746,6/3/31,U-1946,"001, 002",,,UC,,null,,,
Ibrutinib,205552,Imbruvica,PHARMACYCLICS INC,,P,7/28/18,10004746,6/3/31,U-2241,"001, 002",,,UCnew,,null,,,
Ibrutinib,205552,Imbruvica,PHARMACYCLICS INC,,P,7/28/18,10004746,6/3/31,U-2242,"001, 002",,,UCnew,,null,,,
Ibrutinib,205552,Imbruvica,PHARMACYCLICS INC,,P,7/28/18,10016435,6/3/31,U-1650,"001, 002",,,P:UC,,null,,,
Ibrutinib,205552,Imbruvica,PHARMACYCLICS INC,,P,9/28/18,8563563,4/26/27,U-1491,"001, 002",,,P:UCnew,,null,,,
Ibrutinib,205552,Imbruvica,PHARMACYCLICS INC,,P,9/28/18,8563563,4/26/27,U-1650,"001, 002",,,UCnew,,null,,,
Ibrutinib,205552,Imbruvica,PHARMACYCLICS INC,,P,9/28/18,8563563,4/26/27,U-1946,"001, 002",,,UCnew,,null,,,
Ibrutinib,205552,Imbruvica,PHARMACYCLICS INC,,P,9/28/18,8563563,4/26/27,U-2219,"001, 002",,,UCnew,,null,,,
Ibrutinib,205552,Imbruvica,PHARMACYCLICS INC,,P,10/28/18,10106548,6/3/33,"DS, DP","001, 002",,,P:DS/DP,,null,,,
Ibrutinib,205552,Imbruvica,PHARMACYCLICS INC,,P,11/28/18,10125140,6/3/33,"DS, DP","001, 002",,,P:DS/DP,,null,,,
Ibrutinib,210563,Imbruvica,PHARMACYCLICS INC,2/16/18,P,2/28/18,7514444,12/28/26,DS DP,"001, 002, 003, 004",,,P:DS/DP,,null,,,
Ibrutinib,210563,Imbruvica,PHARMACYCLICS INC,,P,2/28/18,8008309,12/28/26,DS DP,"001, 002, 003, 004",,,P:DS/DP,,null,,,
Ibrutinib,210563,Imbruvica,PHARMACYCLICS INC,,P,2/28/18,8476284,12/28/26,U-1456,"001, 002, 003, 004",,,P:UCnew,,null,,,
Ibrutinib,210563,Imbruvica,PHARMACYCLICS INC,,P,2/28/18,8476284,12/28/26,U-1650,"001, 002, 003, 004",,,UCnew,,null,,,
Ibrutinib,210563,Imbruvica,PHARMACYCLICS INC,,P,2/28/18,8476284,12/28/26,U-1946,"001, 002, 003, 004",,,UCnew,,null,,,
Ibrutinib,210563,Imbruvica,PHARMACYCLICS INC,,P,2/28/18,8476284,12/28/26,U-1947,"001, 002, 003, 004",,,UCnew,,null,,,
Ibrutinib,210563,Imbruvica,PHARMACYCLICS INC,,P,2/28/18,8476284,12/28/26,U-2241,"001, 002, 003, 004",,,UCnew,,null,,,
Ibrutinib,210563,Imbruvica,PHARMACYCLICS INC,,P,2/28/18,8497277,12/28/26,U-1456,"001, 002, 003, 004",,,P:UC,,null,,,
Ibrutinib,210563,Imbruvica,PHARMACYCLICS INC,,P,2/28/18,8497277,12/28/26,U-1491,"001, 002, 003, 004",,,UCnew,,null,,,
Ibrutinib,210563,Imbruvica,PHARMACYCLICS INC,,P,2/28/18,8497277,12/28/26,U-1650,"001, 002, 003, 004",,,UC,,null,,,
Ibrutinib,210563,Imbruvica,PHARMACYCLICS INC,,P,2/28/18,8497277,12/28/26,U-1946,"001, 002, 003, 004",,,UC,,null,,,
Ibrutinib,210563,Imbruvica,PHARMACYCLICS INC,,P,2/28/18,8497277,12/28/26,U-1947,"001, 002, 003, 004",,,UC,,null,,,
Ibrutinib,210563,Imbruvica,PHARMACYCLICS INC,,P,2/28/18,8497277,12/28/26,U-2241,"001, 002, 003, 004",,,UC,,null,,,
Ibrutinib,210563,Imbruvica,PHARMACYCLICS INC,,P,2/28/18,8497277,12/28/26,U-2242,"001, 002, 003, 004",,,UCnew,,null,,,
Ibrutinib,210563,Imbruvica,PHARMACYCLICS INC,,P,2/28/18,8563563,4/26/27,U-1491,"001, 002, 003, 004",,,P:UC,,null,,,
Ibrutinib,210563,Imbruvica,PHARMACYCLICS INC,,P,2/28/18,8563563,4/26/27,U-1946,"001, 002, 003, 004",,,UC,,null,,,
Ibrutinib,210563,Imbruvica,PHARMACYCLICS INC,,P,2/28/18,8563563,4/26/27,U-2241,"001, 002, 003, 004",,,UC,,null,,,
Ibrutinib,210563,Imbruvica,PHARMACYCLICS INC,,P,2/28/18,8563563,4/26/27,U-2242,"001, 002, 003, 004",,,UC,,null,,,
Ibrutinib,210563,Imbruvica,PHARMACYCLICS INC,,P,2/28/18,8697711,12/28/26,"DS, DP","001, 002, 003, 004",,,P:DS/DP,,null,,,
Ibrutinib,210563,Imbruvica,PHARMACYCLICS INC,,P,2/28/18,8703780,12/28/26,U-1491,"001, 002, 003, 004",,,P:UC,,null,,,
Ibrutinib,210563,Imbruvica,PHARMACYCLICS INC,,P,2/28/18,8703780,12/28/26,U-2242,"001, 002, 003, 004",,,UC,,null,,,
Ibrutinib,210563,Imbruvica,PHARMACYCLICS INC,,P,2/28/18,8735403,12/28/26,"DS, DP","001, 002, 003, 004",,,P:DS/DP,,null,,,
Ibrutinib,210563,Imbruvica,PHARMACYCLICS INC,,P,2/28/18,8754090,6/3/31,U-1456,"001, 002, 003, 004",,,P:UC,,null,,,
Ibrutinib,210563,Imbruvica,PHARMACYCLICS INC,,P,2/28/18,8754091,12/28/26,DP,"001, 002, 003, 004",,,P:DP,,null,,,
Ibrutinib,210563,Imbruvica,PHARMACYCLICS INC,,P,2/28/18,8952015,12/28/26,U-1456,"001, 002, 003, 004",,,P:UC,,null,,,
Ibrutinib,210563,Imbruvica,PHARMACYCLICS INC,,P,2/28/18,8952015,12/28/26,U-1491,"001, 002, 003, 004",,,UC,,null,,,
Ibrutinib,210563,Imbruvica,PHARMACYCLICS INC,,P,2/28/18,8952015,12/28/26,U-1650,"001, 002, 003, 004",,,UC,,null,,,
Ibrutinib,210563,Imbruvica,PHARMACYCLICS INC,,P,2/28/18,8952015,12/28/26,U-1946,"001, 002, 003, 004",,,UC,,null,,,
Ibrutinib,210563,Imbruvica,PHARMACYCLICS INC,,P,2/28/18,8952015,12/28/26,U-1947,"001, 002, 003, 004",,,UC,,null,,,
Ibrutinib,210563,Imbruvica,PHARMACYCLICS INC,,P,2/28/18,8952015,12/28/26,U-2241,"001, 002, 003, 004",,,UC,,null,,,
Ibrutinib,210563,Imbruvica,PHARMACYCLICS INC,,P,2/28/18,8952015,12/28/26,U-2242,"001, 002, 003, 004",,,UC,,null,,,
Ibrutinib,210563,Imbruvica,PHARMACYCLICS INC,,P,2/28/18,8957079,12/28/26,"DS, DP","001, 002, 003, 004",,,P:DS/DP,,null,,,
Ibrutinib,210563,Imbruvica,PHARMACYCLICS INC,,P,2/28/18,8999999,6/3/31,U-1491,"001, 002, 003, 004",,,P:UC,,null,,,
Ibrutinib,210563,Imbruvica,PHARMACYCLICS INC,,P,2/28/18,8999999,6/3/31,U-1946,"001, 002, 003, 004",,,UC,,null,,,
Ibrutinib,210563,Imbruvica,PHARMACYCLICS INC,,P,2/28/18,8999999,6/3/31,U-2241,"001, 002, 003, 004",,,UC,,null,,,
Ibrutinib,210563,Imbruvica,PHARMACYCLICS INC,,P,2/28/18,8999999,6/3/31,U-2242,"001, 002, 003, 004",,,UC,,null,,,
Ibrutinib,210563,Imbruvica,PHARMACYCLICS INC,,P,2/28/18,9125889,6/3/31,U-1650,"001, 002, 003, 004",,,P:UC,,null,,,
Ibrutinib,210563,Imbruvica,PHARMACYCLICS INC,,P,2/28/18,9181257,12/28/26,DS,"001, 002, 003, 004",,,P:DS,,null,,,
Ibrutinib,210563,Imbruvica,PHARMACYCLICS INC,,P,2/28/18,9296753,10/30/33,DS,"001, 002, 003, 004",,,P:DS,,null,,,
Ibrutinib,210563,Imbruvica,PHARMACYCLICS INC,,P,2/28/18,9655857,3/3/36,DP,"001, 002, 003, 004",,,P:DP,,null,,,
Ibrutinib,210563,Imbruvica,PHARMACYCLICS INC,,P,2/28/18,9725455,6/3/33,DS,"001, 002, 003, 004",,,P:DS,,null,,,
Ibrutinib,210563,Imbruvica,PHARMACYCLICS INC,,P,2/28/18,9795604,10/24/34,U-2150,"001, 002, 003, 004",,,P:UCnew,,null,,,
Ibrutinib,210563,Imbruvica,PHARMACYCLICS INC,,P,2/28/18,9801881,6/3/31,U-1491,"001, 002, 003, 004",,,P:UC,,null,,,
Ibrutinib,210563,Imbruvica,PHARMACYCLICS INC,,P,2/28/18,9801881,6/3/31,U-2242,"001, 002, 003, 004",,,UC,,null,,,
Ibrutinib,210563,Imbruvica,PHARMACYCLICS INC,,P,2/28/18,9801883,6/3/31,U-2159,"001, 002, 003, 004",,,P:UCnew,,null,,,
Ibrutinib,210563,Imbruvica,PHARMACYCLICS INC,,P,2/28/18,9801883,6/3/31,U-2243,"001, 002, 003, 004",,,UCnew,,null,,,
Ibrutinib,210563,Imbruvica,PHARMACYCLICS INC,,P,2/28/18,9814721,6/3/31,U-1947,"001, 002, 003, 004",,,P:UC,,null,,,
Ibrutinib,210563,Imbruvica,PHARMACYCLICS INC,,E,2/28/18,,11/13/18,NCE,"001, 002, 003, 004",,,,,null,,,
Ibrutinib,210563,Imbruvica,PHARMACYCLICS INC,,P,7/28/18,10004746,6/3/31,U-1684,"001, 002, 003, 004",,,P:UCnew,,null,,,
Ibrutinib,210563,Imbruvica,PHARMACYCLICS INC,,P,7/28/18,10004746,6/3/31,U-1946,"001, 002, 003, 004",,,UC,,null,,,
Ibrutinib,210563,Imbruvica,PHARMACYCLICS INC,,P,7/28/18,10004746,6/3/31,U-2241,"001, 002, 003, 004",,,UC,,null,,,
Ibrutinib,210563,Imbruvica,PHARMACYCLICS INC,,P,7/28/18,10004746,6/3/31,U-2242,"001, 002, 003, 004",,,UC,,null,,,
Ibrutinib,210563,Imbruvica,PHARMACYCLICS INC,,P,7/28/18,10010507,3/3/36,DP,"001, 002, 003, 004",,,P:DP,,null,,,
Ibrutinib,210563,Imbruvica,PHARMACYCLICS INC,,P,7/28/18,10016435,6/3/31,U-1650,"001, 002, 003, 004",,,P:UC,,null,,,
Ibrutinib,210563,Imbruvica,PHARMACYCLICS INC,,P,9/28/18,8563563,4/26/27,U-1491,"001, 002, 003, 004",,,P:UCnew,,null,,,
Ibrutinib,210563,Imbruvica,PHARMACYCLICS INC,,P,9/28/18,8563563,4/26/27,U-1650,"001, 002, 003, 004",,,UCnew,,null,,,
Ibrutinib,210563,Imbruvica,PHARMACYCLICS INC,,P,9/28/18,8563563,4/26/27,U-1946,"001, 002, 003, 004",,,UCnew,,null,,,
Ibrutinib,210563,Imbruvica,PHARMACYCLICS INC,,P,9/28/18,8563563,4/26/27,U-2241,"001, 002, 003, 004",,,UCnew,,null,,,
Ibrutinib,210563,Imbruvica,PHARMACYCLICS INC,,P,9/28/18,8563563,4/26/27,U-2242,"001, 002, 003, 004",,,UCnew,,null,,,
Ibrutinib,210563,Imbruvica,PHARMACYCLICS INC,,P,10/28/18,10106548,6/3/33,"DS, DP","001, 002, 003, 004",,,P:DS/DP,,null,,,
Ibrutinib,210563,Imbruvica,PHARMACYCLICS INC,,P,11/28/18,10125140,6/3/33,"DS, DP","001, 002, 003, 004",,,P:DS/DP,,null,,,
Ibuprofen,19833,Children's Advil*,WYETH CONS,9/19/89,P,pre-2005,4788220,11/29/05,,2,,,Pre-2005,,null,,,
Ibuprofen,19833,Children's Advil*,WYETH CONS,,P,pre-2005,4788220*PED,5/29/06,,2,,,Pre-2005,,null,,,
Ibuprofen,19842,Motrin*,MCNEIL CONSUMER,9/19/89,P,pre-2005,5374659,12/20/11,,1,,,Pre-2005,,null,,,
Ibuprofen,19842,Motrin*,MCNEIL CONSUMER,,P,pre-2005,5374659*PED,6/20/12,,1,,,Pre-2005,,null,,,
Ibuprofen,20135,Motrin*,MCNEIL PED,11/16/94,P,pre-2005,5215755,6/1/10,,"001, 002",,,Pre-2005,,null,,,
Ibuprofen,20135,Motrin*,MCNEIL PED,,P,pre-2005,5320855,6/14/11,,"001, 002",,,Pre-2005,,null,,,
Ibuprofen,20135,Motrin*,MCNEIL PED,,P,pre-2005,5215755*PED,12/1/10,,"001, 002",,,Pre-2005,,null,,,
Ibuprofen,20135,Motrin*,MCNEIL PED,,P,pre-2005,5320855*PED,12/14/11,,"001, 002",,,Pre-2005,,null,,,
Ibuprofen,20516,Children's Motrin*,J AND J CONSUMER INC,6/16/95,P,pre-2005,5374659,12/20/11,,1,,,Pre-2005,,null,,,
Ibuprofen,20516,Children's Motrin*,J AND J CONSUMER INC,,P,pre-2005,5374659*PED,6/20/12,,1,,,Pre-2005,,null,,,
Ibuprofen,20589,Children's Advil*,PFIZER,6/27/96,P,pre-2005,4788220,7/8/07,,1,,,Pre-2005,,null,,,
Ibuprofen,20589,Children's Advil*,PFIZER,,P,pre-2005,4788220*PED,1/8/08,,1,,,Pre-2005,,null,,,
Ibuprofen,20601,Children's Motrin ; Junior Strength Motrin*,J AND J CONSUMER INC,11/15/96,P,pre-2005,5215755,6/1/10,,"001, 003",,,Pre-2005,,null,,,
Ibuprofen,20601,Children's Motrin ; Junior Strength Motrin*,J AND J CONSUMER INC,,P,pre-2005,5215755*PED,12/1/10,,"001, 003",,,Pre-2005,,null,,,
Ibuprofen,20603,Children's Motrin*,J AND J CONSUMER INC,6/10/96,P,pre-2005,5374659,12/20/11,,1,,,Pre-2005,,null,,,
Ibuprofen,20603,Children's Motrin*,J AND J CONSUMER INC,,P,pre-2005,5374659*PED,6/20/12,,1,,,Pre-2005,,null,,,
Ibuprofen,21472,Ibuprofen*,BIONPHARMA INC,10/18/02,P,pre-2005,6251426,6/25/18,,1,,,Pre-2005,,null,,,
Ibuprofen,21604,Children's Elixsure*,MOBERG PHARMA NORTH,1/7/04,E,pre-2005,,1/7/07,NP,1,,,Pre-2005,,null,,,
Ibuprofen,22348,Caldolor,CUMBERLAND PHARMS,6/11/09,P,6/28/9,6727286,11/27/21,"DP, U-981","001, 002",,Yes,P:DP/UCnew,,null,,,
Ibuprofen,22348,Caldolor,CUMBERLAND PHARMS,,E,6/28/9,,6/11/12,NP,"001, 002",,Yes,NP,,null,,,
Ibuprofen,22348,Caldolor,CUMBERLAND PHARMS,,P,5/28/14,8735452,9/30/29,U-981,2,,No,P:UC,,null,,,
Ibuprofen,22348,Caldolor,CUMBERLAND PHARMS,,P,10/28/14,8871810,8/27/30,U-1599,2,,No,P:UCnew,,null,,,
Ibuprofen,22348,Caldolor,CUMBERLAND PHARMS,,P,4/28/15,8871810,9/30/29,U-1599,2,,No,PTDecrease,,null,,,
Ibuprofen,22348,Caldolor,CUMBERLAND PHARMS,,P,4/28/15,9012508,9/14/30,U-981,2,,No,P:UC,,null,,,
Ibuprofen,22348,Caldolor,CUMBERLAND PHARMS,,P,9/28/15,9114068,9/30/29,U-1735,2,,No,P:UCnew,,null,,,
Ibuprofen,22348,Caldolor,CUMBERLAND PHARMS,,P,10/28/15,9138404,9/30/29,U-1756,2,,No,P:UCnew,,null,,,
Ibuprofen,22348,Caldolor,CUMBERLAND PHARMS,,E,11/28/15,,11/20/18,D-152,2,,No,D,,null,,,
Ibuprofen,22348,Caldolor,CUMBERLAND PHARMS,,E,11/28/15,,11/20/18,NPP,2,,No,NPP,,null,,,
Ibuprofen,22348,Caldolor,CUMBERLAND PHARMS,,P,4/28/16,9295639,9/30/29,U-1756,"001, 002",,,P:UCnew,,null,,,
Ibuprofen,22348,Caldolor,CUMBERLAND PHARMS,,P,6/28/17,9649284,9/30/29,U-2018,2,,,P:UCnew,,null,,,
Ibuprofen,22348,Caldolor,CUMBERLAND PHARMS,,P,4/28/18,9072661,3/16/32,U-2264,2,,,P:UCnew,,null,,,
Ibuprofen,22348,Caldolor,CUMBERLAND PHARMS,,P,4/28/18,9072710,3/16/32,U-2266,2,,,P:UCnew,,null,,,
Ibuprofen Lysine,21903,Neoprofen,RECORDATI RARE,4/13/06,E,4/28/6,,4/13/09,NE,1,,Yes,NE,,null,,,
Ibuprofen Lysine,21903,Neoprofen,RECORDATI RARE,,E,4/28/6,,4/13/13,ODE,1,,Yes,ODE,,null,,,
